,Um,Ur,Ud,C_target
151,0.70329,0.70525,0.7768,0.0
152,0.70329,0.70536,0.77684,0.0
153,0.70326,0.70542,0.77681,0.0
154,0.70336,0.70535,0.77688,0.0
155,0.70349,0.70573,0.77686,0.0
156,0.70363,0.70566,0.77682,0.0
157,0.70356,0.70551,0.77687,0.0
158,0.70353,0.70566,0.77688,0.0
159,0.70372,0.70579,0.77692,0.0
160,0.70382,0.70595,0.77689,0.0
161,0.70398,0.7058,0.7769,0.0
162,0.70385,0.70618,0.77691,0.0
163,0.70396,0.70601,0.77692,0.0
164,0.704,0.70629,0.77698,0.0
165,0.70419,0.70649,0.77703,0.0
166,0.7042,0.70648,0.777,0.0
167,0.70413,0.70658,0.77703,0.0
168,0.70443,0.70671,0.77705,0.0
169,0.70452,0.70697,0.77709,0.0
170,0.70448,0.70713,0.77716,0.0
171,0.70496,0.70721,0.77714,0.0
172,0.70509,0.70756,0.77715,0.0
173,0.70498,0.70774,0.77721,0.0
174,0.7052,0.70789,0.7772,0.0
175,0.70552,0.7083,0.77726,0.0
176,0.70554,0.70858,0.7774,0.0
177,0.70558,0.70878,0.77741,0.0
178,0.70572,0.70909,0.77746,0.0
179,0.70627,0.70944,0.77752,0.0
180,0.70632,0.70976,0.77757,0.0
181,0.70668,0.71004,0.77761,0.0
182,0.70704,0.71028,0.77769,0.0
183,0.70715,0.71061,0.77773,0.0
184,0.70719,0.71117,0.7778,0.0
185,0.70773,0.71135,0.77787,0.0
186,0.70804,0.71198,0.7779,0.0
187,0.70832,0.71226,0.778,0.0
188,0.70847,0.71293,0.77814,0.0
189,0.70884,0.71314,0.77814,0.0
190,0.70924,0.71369,0.7782,0.0
191,0.70953,0.71428,0.77828,0.0
192,0.71008,0.715,0.77838,0.0
193,0.71031,0.71541,0.77844,0.0
194,0.71067,0.71601,0.77857,0.0
195,0.71111,0.7165,0.77864,0.0
196,0.71161,0.71693,0.7787,0.0
197,0.71206,0.71763,0.77882,0.0
198,0.71247,0.7182,0.77893,0.0
199,0.713,0.71891,0.77897,0.0
200,0.71338,0.71942,0.77912,0.0
201,0.71378,0.72008,0.77921,0.0
202,0.71418,0.72082,0.77928,0.0
203,0.71447,0.72138,0.77936,0.0
204,0.71501,0.72218,0.77946,0.0
205,0.71555,0.7226,0.77961,0.0
206,0.71607,0.72354,0.77968,0.0
207,0.71652,0.72416,0.77986,0.0
208,0.71721,0.72503,0.77991,0.0
209,0.71742,0.72572,0.77999,0.0
210,0.71831,0.72668,0.78014,0.0
211,0.71877,0.72711,0.78022,0.0
212,0.71939,0.72802,0.78033,0.0
213,0.71986,0.72884,0.78046,0.0
214,0.72048,0.72968,0.78059,0.0
215,0.72086,0.73031,0.78072,0.0
216,0.72176,0.73121,0.78082,0.0
217,0.72234,0.73202,0.78095,0.0
218,0.72271,0.73272,0.78106,0.0
219,0.72337,0.73372,0.78119,0.0
220,0.7237,0.73444,0.78129,0.0
221,0.72433,0.7353,0.78142,0.0
222,0.72498,0.73593,0.78147,0.0
223,0.72566,0.73696,0.78163,0.0
224,0.72597,0.73791,0.78174,0.0
225,0.72666,0.73868,0.78184,0.0
226,0.72726,0.73937,0.78204,0.0
227,0.72796,0.74039,0.78213,0.0
228,0.72877,0.74118,0.78224,0.0
229,0.72913,0.74191,0.78241,0.0
230,0.72955,0.74279,0.78244,0.0
231,0.73055,0.74362,0.78262,0.0
232,0.73084,0.74429,0.78268,0.0
233,0.7315,0.74548,0.78285,0.0
234,0.73215,0.7464,0.78298,0.0
235,0.73279,0.74713,0.78309,0.0
236,0.73331,0.74798,0.78316,0.0
237,0.73399,0.74867,0.78332,0.0
