,C,Um,Ur,Ud,C_target
0,132.061676,0.72602,0.73682,0.7819,0.0
1,-345.992676,0.72598,0.73637,0.78183,0.0
2,299.691498,0.72588,0.73612,0.78176,0.0
3,-379.048615,0.72554,0.73602,0.78176,0.0
4,404.348511,0.72554,0.73583,0.78175,0.0
5,-338.459839,0.72532,0.73558,0.78174,0.0
6,331.02713,0.72523,0.73527,0.78167,0.0
7,-165.88504,0.72498,0.73501,0.78161,0.0
8,-241.571564,0.72474,0.73505,0.78166,0.0
9,305.428741,0.72476,0.73489,0.78161,0.0
10,253.834488,0.72455,0.73485,0.78157,0.0
11,-363.00119,0.72447,0.73436,0.78152,0.0
12,389.494934,0.72428,0.7343,0.78146,0.0
13,-329.348419,0.72421,0.7341,0.78144,0.0
14,158.729202,0.72418,0.73387,0.78142,0.0
15,-423.24353,0.72395,0.73349,0.78137,0.0
16,363.097015,0.72378,0.73342,0.78138,0.0
17,-347.29129,0.72359,0.73313,0.78132,0.0
18,234.213409,0.72363,0.73311,0.78137,0.0
19,176.090118,0.72339,0.73287,0.78129,0.0
20,-209.905029,0.72316,0.73253,0.78124,0.0
21,305.553436,0.72306,0.7323,0.78125,0.0
22,-185.494629,0.72329,0.73221,0.78124,0.0
23,-222.333725,0.72299,0.73216,0.78119,0.0
24,186.040558,0.72266,0.732,0.78118,0.0
25,190.862305,0.7226,0.73183,0.78111,0.0
26,-282.49176,0.7225,0.73153,0.78107,0.0
27,-119.424988,0.72248,0.73133,0.78103,0.0
28,-209.481308,0.72222,0.73117,0.78102,0.0
29,-162.16362,0.72169,0.73084,0.78101,0.0
30,318.391022,0.72166,0.73062,0.78097,0.0
31,190.500946,0.72155,0.73054,0.78093,0.0
32,-281.02713,0.7214,0.73038,0.78091,0.0
33,-239.103928,0.72158,0.7302,0.78088,0.0
34,157.839432,0.72141,0.73005,0.78088,0.0
35,-343.675934,0.72122,0.72964,0.7808,0.0
36,191.410309,0.72103,0.72954,0.78082,0.0
37,-311.06424,0.72085,0.72939,0.78076,0.0
38,-160.142929,0.72104,0.7292,0.78076,0.0
39,230.760117,0.72073,0.72894,0.78071,0.0
40,-407.402405,0.72073,0.72869,0.78074,0.0
41,249.414963,0.72069,0.72869,0.78067,0.0
42,230.178009,0.72036,0.72882,0.78068,0.0
43,-278.332214,0.72016,0.7283,0.78058,0.0
44,199.898224,0.72012,0.72817,0.78061,0.0
45,-202.635574,0.71984,0.72803,0.78059,0.0
46,-224.458862,0.71993,0.72763,0.78053,0.0
47,-331.734314,0.71982,0.72748,0.78055,0.0
48,305.374481,0.71965,0.72774,0.78054,0.0
49,-285.873932,0.71956,0.72749,0.7805,0.0
50,268.075928,0.71943,0.72716,0.78043,0.0
51,-284.898468,0.71928,0.72707,0.78041,0.0
52,188.72847,0.71923,0.72688,0.78042,0.0
53,111.593025,0.71891,0.72668,0.78043,0.0
54,156.975876,0.71891,0.72667,0.78039,0.0
55,-232.83931,0.719,0.72634,0.78035,0.0
56,204.840302,0.71876,0.72599,0.78037,0.0
57,-274.729004,0.71882,0.726,0.78031,0.0
58,197.21521,0.71876,0.726,0.78025,0.0
59,68.725418,0.71845,0.72585,0.78025,0.0
60,-387.243317,0.71824,0.72549,0.78023,0.0
61,382.660187,0.71823,0.72559,0.78021,0.0
62,-220.663986,0.71803,0.72547,0.78022,0.0
63,-320.725525,0.7181,0.72519,0.78016,0.0
64,-292.098602,0.71798,0.72485,0.78009,0.0
65,315.730164,0.71758,0.72478,0.78006,0.0
66,-248.722534,0.71762,0.72448,0.78002,0.0
67,348.179565,0.7176,0.7245,0.78001,0.0
68,-250.741425,0.7173,0.7244,0.77994,0.0
69,355.076324,0.71734,0.72435,0.77991,0.0
70,-292.29834,0.71719,0.72402,0.7799,0.0
71,287.159424,0.71718,0.72391,0.77988,0.0
72,219.550293,0.71727,0.72384,0.77993,0.0
73,197.107819,0.71686,0.72364,0.7799,0.0
74,-143.828339,0.71674,0.72339,0.77988,0.0
75,-220.296143,0.71659,0.72333,0.77985,0.0
76,249.887177,0.71658,0.72331,0.77985,0.0
