,C,Um,Ur,Ud,C_target
120,-248.093063,0.72228,0.73121,0.78069,0.0
121,-232.093826,0.72222,0.73109,0.78065,0.0
122,-237.025879,0.722,0.73078,0.78068,0.0
123,290.74826,0.72204,0.73076,0.78058,0.0
124,-249.475204,0.72198,0.73055,0.78048,0.0
125,96.962921,0.72165,0.73038,0.78055,0.0
126,332.28244,0.72166,0.73035,0.78045,0.0
127,-271.282501,0.7214,0.73031,0.78042,0.0
128,178.115799,0.72156,0.73022,0.78041,0.0
129,150.434235,0.72136,0.73009,0.78049,0.0
130,272.122223,0.72126,0.72991,0.78047,0.0
131,140.917664,0.7212,0.72969,0.78043,0.0
132,387.750305,0.72124,0.72974,0.78039,0.0
133,-326.069305,0.72111,0.72945,0.78038,0.0
134,-93.483521,0.72112,0.72917,0.78034,0.0
135,-272.920441,0.7211,0.72904,0.78042,0.0
136,348.443939,0.72099,0.72925,0.78034,0.0
137,-283.562714,0.72075,0.72901,0.78032,0.0
138,204.132675,0.72058,0.72882,0.78029,0.0
139,259.995178,0.72069,0.72865,0.78025,0.0
140,326.650299,0.72062,0.7286,0.78025,0.0
141,-295.59787,0.72036,0.7285,0.7802,0.0
142,-266.168823,0.72024,0.72843,0.78019,0.0
143,240.07547,0.72011,0.72813,0.78,0.0
144,-128.869278,0.72001,0.72797,0.78005,0.0
145,282.824707,0.71991,0.72785,0.77993,0.0
146,-198.10585,0.71982,0.72761,0.77998,0.0
147,384.358704,0.7199,0.72808,0.78011,0.0
148,-367.760529,0.71974,0.72775,0.78012,0.0
149,-179.811005,0.71977,0.72759,0.78008,0.0
150,161.214325,0.71987,0.72758,0.78013,0.0
151,-135.061569,0.71975,0.72742,0.78011,0.0
152,323.726593,0.71942,0.72737,0.78009,0.0
153,-356.54129,0.71948,0.72722,0.78007,0.0
154,-160.611145,0.71958,0.72708,0.78001,0.0
155,348.202759,0.71935,0.72709,0.78006,0.0
156,-317.69635,0.71944,0.72684,0.78005,0.0
157,175.755707,0.71932,0.72682,0.77996,0.0
158,-130.892349,0.71907,0.72679,0.78001,0.0
159,-219.140808,0.71895,0.72667,0.77997,0.0
160,-228.350632,0.71905,0.72656,0.77994,0.0
161,-250.738724,0.71887,0.72642,0.78005,0.0
162,139.652618,0.71912,0.72625,0.77994,0.0
163,389.82193,0.71872,0.72643,0.77989,0.0
164,-415.637756,0.71872,0.72598,0.77997,0.0
165,354.320801,0.71838,0.726,0.7798,0.0
166,-149.550964,0.71864,0.72612,0.77985,0.0
167,-272.487793,0.71873,0.72597,0.77992,0.0
168,-174.391846,0.71859,0.72567,0.77987,0.0
169,163.739944,0.71866,0.72584,0.77983,0.0
170,-151.852036,0.71857,0.72561,0.77974,0.0
171,361.46817,0.7181,0.7255,0.77978,0.0
172,-349.447479,0.718,0.72545,0.77977,0.0
173,123.062592,0.71819,0.72533,0.77971,0.0
174,246.377121,0.71785,0.72509,0.77978,0.0
175,-248.966614,0.71796,0.72505,0.7797,0.0
176,192.499542,0.71796,0.72504,0.77972,0.0
177,255.885178,0.71777,0.72509,0.77975,0.0
178,-315.893738,0.71796,0.72489,0.77968,0.0
179,149.898468,0.71775,0.72473,0.77964,0.0
180,-117.125038,0.71763,0.72463,0.77962,0.0
181,391.803619,0.71743,0.72461,0.77959,0.0
182,188.566269,0.7177,0.7244,0.77963,0.0
183,261.581848,0.71783,0.72446,0.77967,0.0
184,211.77359,0.71755,0.72453,0.77957,0.0
185,-155.195816,0.71733,0.7244,0.77965,0.0
186,216.109573,0.71718,0.72408,0.77961,0.0
187,-288.697388,0.7172,0.72408,0.77968,0.0
188,252.755936,0.71714,0.72411,0.77946,0.0
189,260.240906,0.71716,0.72386,0.77953,0.0
190,-26.360155,0.71706,0.72387,0.77952,0.0
191,141.274261,0.71716,0.7238,0.77954,0.0
192,-162.332962,0.71702,0.72365,0.77948,0.0
193,280.476135,0.71682,0.7236,0.77944,0.0
194,18.282841,0.71683,0.72347,0.77932,0.0
195,-168.497803,0.71693,0.7233,0.77946,0.0
196,277.480865,0.71701,0.72334,0.77969,0.0
197,-127.007545,0.71682,0.72353,0.77951,0.0
198,260.41983,0.71671,0.72328,0.7795,0.0
199,189.346359,0.71686,0.72333,0.77944,0.0
200,189.598709,0.71659,0.72319,0.77947,0.0
201,222.843002,0.71673,0.72303,0.77957,0.0
202,-187.088226,0.7166,0.72313,0.7795,0.0
203,-226.587509,0.71665,0.72297,0.77942,0.0
204,-285.349854,0.71651,0.72268,0.77942,0.0
205,387.495453,0.71639,0.72295,0.77936,0.0
206,-280.679321,0.71648,0.72281,0.77945,0.0
207,-303.539307,0.71646,0.7225,0.7794,0.0
208,316.054077,0.71631,0.72255,0.77941,0.0
209,-193.407623,0.71632,0.72261,0.77943,0.0
210,143.211685,0.71634,0.72249,0.7793,0.0
211,-149.950897,0.71618,0.72248,0.77936,0.0
212,271.802856,0.71623,0.72252,0.77936,0.0
213,221.30191,0.71583,0.72235,0.77932,0.0
214,-361.576965,0.71605,0.72206,0.77925,0.0
215,383.528687,0.7159,0.72223,0.77922,0.0
216,-400.84436,0.71607,0.722,0.77931,0.0
217,-257.505676,0.71575,0.7219,0.77929,0.0
218,299.216125,0.71577,0.72207,0.7793,0.0
219,-351.902496,0.71576,0.72186,0.77933,0.0
220,-292.29892,0.71564,0.72168,0.77921,0.0
221,370.714569,0.71548,0.72174,0.77923,0.0
222,-288.5755,0.71563,0.72162,0.77909,0.0
223,-161.644531,0.71546,0.72168,0.77914,0.0
224,133.365891,0.71545,0.72148,0.7792,0.0
225,203.39679,0.7154,0.72157,0.77925,0.0
226,-325.209808,0.7155,0.72141,0.77916,0.0
227,272.704926,0.71547,0.7214,0.77931,0.0
228,-328.312897,0.71526,0.72097,0.77927,0.0
229,271.262329,0.71551,0.7213,0.77915,0.0
230,-325.077271,0.71529,0.72109,0.7791,0.0
231,-300.689545,0.71552,0.72105,0.77919,0.0
232,261.900818,0.71525,0.72127,0.77911,0.0
233,-262.902313,0.71519,0.72107,0.77921,0.0
234,-228.643295,0.71541,0.72105,0.77923,0.0
235,-194.500977,0.71526,0.72071,0.77919,0.0
236,358.208374,0.71511,0.72108,0.77905,0.0
237,-323.220947,0.71498,0.72081,0.77928,0.0
238,-164.824646,0.71496,0.72078,0.7791,0.0
239,-302.937317,0.71502,0.72067,0.77905,0.0
240,188.48111,0.71485,0.72067,0.77904,0.0
241,-240.944077,0.71478,0.72058,0.77904,0.0
242,220.846207,0.71453,0.72054,0.77906,0.0
243,202.110413,0.71478,0.72048,0.77901,0.0
244,-90.964516,0.71489,0.7205,0.77899,0.0
245,-89.256714,0.71469,0.72041,0.77899,0.0
246,-192.929871,0.71461,0.72016,0.77914,0.0
247,-260.43161,0.7146,0.72021,0.77897,0.0
248,339.202087,0.7145,0.72026,0.77899,0.0
249,-302.756805,0.71451,0.72006,0.77899,0.0
250,-342.209564,0.71454,0.71989,0.77902,0.0
251,308.347778,0.71431,0.72006,0.77908,0.0
252,-300.68512,0.71439,0.72004,0.77911,0.0
253,162.1035,0.71437,0.72003,0.77901,0.0
254,-233.426697,0.71454,0.72014,0.779,0.0
255,-367.15448,0.71434,0.7199,0.7789,0.0
256,297.899353,0.71423,0.71981,0.77893,0.0
257,269.912506,0.71422,0.7198,0.77894,0.0
258,-131.377106,0.714,0.71963,0.77899,0.0
259,250.48082,0.71413,0.71965,0.77896,0.0
260,338.506409,0.7141,0.71967,0.77891,0.0
261,-301.242401,0.71409,0.71944,0.77881,0.0
262,303.153107,0.71381,0.71933,0.77893,0.0
263,320.321503,0.71383,0.71939,0.77885,0.0
264,-169.098129,0.71394,0.71933,0.77882,0.0
265,-183.295486,0.71386,0.71928,0.77891,0.0
266,-115.929588,0.714,0.71928,0.77897,0.0
267,174.214401,0.71407,0.71919,0.77893,0.0
268,-79.574722,0.71388,0.71903,0.77884,0.0
269,-258.887512,0.71376,0.71913,0.77898,0.0
270,155.588791,0.71367,0.71905,0.7788,0.0
271,246.066086,0.7138,0.71923,0.7789,0.0
272,236.573959,0.71365,0.71897,0.77893,0.0
273,-133.258331,0.7137,0.71898,0.77883,0.0
274,248.262512,0.71385,0.7188,0.7788,0.0
275,226.018768,0.71346,0.7188,0.7789,0.0
276,-269.695129,0.71359,0.71891,0.77887,0.0
277,121.379929,0.71358,0.71863,0.77879,0.0
278,-128.259705,0.71353,0.71859,0.77871,0.0
279,195.204163,0.71348,0.71862,0.77889,0.0
280,172.635468,0.71352,0.71881,0.77889,0.0
281,-71.575287,0.71359,0.71879,0.77881,0.0
282,-227.818817,0.71348,0.7186,0.77887,0.0
283,-161.893631,0.71338,0.71862,0.77875,0.0
284,103.974121,0.71344,0.71856,0.77869,0.0
285,-320.134796,0.71328,0.71845,0.7787,0.0
286,-168.775513,0.7132,0.71846,0.77875,0.0
287,171.942444,0.71297,0.71832,0.77885,0.0
288,242.579056,0.713,0.71823,0.77879,0.0
