,C,Um,Ur,Ud,C_target
86,245.687592,0.69866,0.69781,0.77616,0.0
87,-294.584534,0.69882,0.69782,0.77625,0.0
88,-209.865601,0.69893,0.69786,0.77612,0.0
89,249.215744,0.69871,0.69796,0.77624,0.0
90,-321.607666,0.69903,0.6976,0.77621,0.0
91,285.374786,0.69868,0.69775,0.77613,0.0
92,-268.018524,0.69881,0.69769,0.77609,0.0
93,113.548843,0.69889,0.69752,0.77612,0.0
94,188.401688,0.69881,0.69757,0.77614,0.0
95,-257.629791,0.69867,0.69759,0.7761,0.0
96,82.01535,0.69862,0.69767,0.77616,0.0
97,-294.347809,0.69856,0.69768,0.77615,0.0
98,-47.506569,0.6987,0.69773,0.77615,0.0
99,212.078781,0.69879,0.69781,0.77611,0.0
100,208.777817,0.69869,0.69769,0.77606,0.0
101,240.655487,0.69871,0.69758,0.776,0.0
102,194.116547,0.6988,0.69756,0.77607,0.0
103,156.779175,0.69877,0.69755,0.77607,0.0
104,-123.347054,0.69855,0.69743,0.77606,0.0
105,345.868805,0.69858,0.6974,0.776,0.0
106,199.038498,0.69887,0.69748,0.77613,0.0
107,199.510086,0.69879,0.69767,0.77614,0.0
108,-225.493195,0.69861,0.69746,0.776,0.0
109,207.109909,0.69864,0.6976,0.77611,0.0
110,-212.153656,0.69862,0.69728,0.77611,0.0
111,282.916656,0.69833,0.69734,0.77599,0.0
112,352.425964,0.69858,0.6975,0.7761,0.0
113,-227.399063,0.6987,0.69734,0.77606,0.0
114,-236.21669,0.69853,0.69747,0.77606,0.0
115,-193.733261,0.69858,0.6974,0.77608,0.0
116,-179.654266,0.69846,0.69726,0.77604,0.0
117,184.385223,0.69843,0.69724,0.77605,0.0
118,56.043121,0.69862,0.69723,0.77601,0.0
119,-366.809967,0.69835,0.69721,0.77595,0.0
120,158.968994,0.69841,0.69716,0.77597,0.0
121,-231.592712,0.69848,0.69728,0.77601,0.0
122,-313.031036,0.69858,0.69715,0.77593,0.0
