,C,Um,Ur,Ud,C_target
6130,-89.241058,0.70364,0.70333,0.77659,1.8
6131,-10.562922,0.70372,0.70368,0.77667,1.8
6132,-28.570871,0.70383,0.70378,0.77666,1.8
6133,96.431793,0.70364,0.70389,0.77669,1.8
6134,-40.068668,0.70392,0.70387,0.77674,1.8
6135,-6.584104,0.70402,0.70414,0.77668,1.8
6136,-88.715523,0.70417,0.7041,0.77673,1.8
6137,1.632784,0.70416,0.70437,0.77677,1.8
6138,-116.695778,0.70438,0.70433,0.7768,1.8
6139,2.324255,0.70425,0.7045,0.77679,1.8
6140,-133.202744,0.70448,0.70443,0.77683,1.8
6141,-59.472775,0.70443,0.70456,0.77676,1.8
6142,-90.864166,0.70436,0.70438,0.77675,1.8
6143,-236.010223,0.70454,0.70426,0.77672,1.8
6144,-53.439644,0.70402,0.70399,0.77672,1.8
6145,-46.299316,0.70395,0.7039,0.77666,1.8
6146,-70.097969,0.70397,0.70387,0.77671,1.8
6147,8.355396,0.70377,0.70382,0.7767,1.8
6148,-90.249275,0.70385,0.70363,0.77667,1.8
6149,-49.796642,0.7037,0.70354,0.77665,1.8
6150,18.735167,0.70358,0.70358,0.77659,1.8
6151,-33.268707,0.70358,0.7034,0.77659,1.8
6152,39.412865,0.70347,0.70348,0.77656,1.8
6153,33.410522,0.70327,0.70316,0.77658,1.8
6154,9.901386,0.70337,0.70324,0.77658,1.8
6155,75.48484,0.70337,0.70344,0.77657,1.8
6156,-29.330248,0.70346,0.70324,0.77664,1.8
6157,35.253799,0.7034,0.70336,0.77661,1.8
6158,-9.864974,0.70361,0.70353,0.77667,1.8
6159,-26.225082,0.70356,0.70339,0.77668,1.8
6160,-94.55822,0.70376,0.70348,0.77666,1.8
6161,142.094238,0.70349,0.7038,0.77663,1.8
6162,126.460304,0.70369,0.70404,0.77667,1.8
