,Unnamed: 0,C,Um,Ur,Ud,C_target
0,0,5.984166,0.70175,0.70086,0.77665,0.0
1,1,-14.744394,0.70181,0.70086,0.77667,0.0
2,2,-224.305252,0.70211,0.70073,0.77665,0.0
3,3,-49.50481,0.70185,0.70082,0.77666,0.0
4,4,-143.622314,0.70192,0.70067,0.77662,0.0
5,5,54.638518999999995,0.70163,0.7008300000000001,0.77662,0.0
6,6,8.301525,0.7017399999999999,0.70085,0.77664,0.0
7,7,-78.47204599999999,0.70193,0.70086,0.7766,0.0
8,8,-153.465698,0.70197,0.7007,0.77656,0.0
9,9,-56.13308000000001,0.7017899999999999,0.70071,0.77658,0.0
10,10,-46.673363,0.70173,0.7006600000000001,0.77655,0.0
11,11,-56.471134,0.7017,0.70058,0.77657,0.0
12,12,13.087616,0.70168,0.7007800000000001,0.77653,0.0
13,13,-129.26268000000002,0.7017399999999999,0.70044,0.77654,0.0
14,14,-40.889965000000004,0.7016100000000001,0.7005,0.77654,0.0
15,15,-184.899811,0.70163,0.70014,0.77642,0.0
16,16,-78.558296,0.70157,0.7003199999999999,0.77651,0.0
17,17,-48.920353000000006,0.7014100000000001,0.70019,0.7765,0.0
18,18,-0.738559,0.7014199999999999,0.70034,0.77652,0.0
19,19,-116.65118400000001,0.70155,0.7002,0.77654,0.0
20,20,-74.577568,0.70148,0.7002,0.77649,0.0
21,21,-103.622688,0.70149,0.70014,0.7764800000000001,0.0
22,22,-85.478432,0.70157,0.7003,0.7765,0.0
23,23,-9.864974,0.7014100000000001,0.7003,0.7765,0.0
24,24,-116.382347,0.7015600000000001,0.70022,0.77647,0.0
25,25,-16.224570999999997,0.70126,0.70005,0.7765,0.0
26,26,-3.099143,0.70118,0.69999,0.77641,0.0
27,27,-93.14962,0.70126,0.6998300000000001,0.7764300000000001,0.0
28,28,-39.904334999999996,0.70126,0.69998,0.7764,0.0
29,29,-66.882675,0.70107,0.69963,0.77646,0.0
30,30,11.338222,0.70089,0.69962,0.77644,0.0
31,31,-161.102722,0.70128,0.69968,0.7763899999999999,0.0
32,32,-62.530593999999994,0.70104,0.6996,0.77641,0.0
33,33,-29.730442,0.70093,0.6995399999999999,0.7764300000000001,0.0
34,34,14.045620000000001,0.70075,0.69943,0.7763800000000001,0.0
35,35,-146.546234,0.70101,0.6993199999999999,0.7763899999999999,0.0
36,36,-171.782455,0.70101,0.69926,0.7763399999999999,0.0
37,37,-142.618561,0.7011,0.69947,0.77635,0.0
38,38,-61.000094999999995,0.7008800000000001,0.6993699999999999,0.7764,0.0
39,39,-19.798731,0.70071,0.69925,0.77637,0.0
40,40,-105.40018500000001,0.70091,0.69929,0.77632,0.0
41,41,-87.971252,0.70084,0.69924,0.77637,0.0
42,42,-28.611719,0.70065,0.69913,0.7764,0.0
43,43,-16.224570999999997,0.70071,0.69925,0.7763,0.0
44,44,6.371898000000001,0.70062,0.69921,0.7763100000000001,0.0
45,45,-23.150751,0.7005100000000001,0.69894,0.77628,0.0
46,46,-1.1012870000000001,0.70057,0.69911,0.77627,0.0
47,47,2.6848669999999997,0.70045,0.69894,0.77625,0.0
48,48,-17.869612,0.70053,0.69898,0.7762899999999999,0.0
49,49,-8.699339,0.70043,0.6988800000000001,0.77628,0.0
50,50,94.49251600000001,0.70031,0.69901,0.77627,0.0
51,51,-65.94207,0.70045,0.69872,0.77618,0.0
52,52,86.242645,0.69995,0.6984600000000001,0.7762399999999999,0.0
53,53,186.67498799999998,0.6997899999999999,0.6985,0.7762600000000001,0.0
54,54,336.705597,0.69962,0.69863,0.77628,0.0
55,55,402.970825,0.6994100000000001,0.69848,0.7762,0.0
56,56,359.493713,0.69957,0.6986100000000001,0.77623,0.0
57,57,307.607025,0.69958,0.6985,0.77618,0.0
58,58,192.895645,0.69967,0.69835,0.77617,0.0
59,59,359.667786,0.6994,0.6983699999999999,0.7761899999999999,0.0
60,60,263.9104,0.6996399999999999,0.69848,0.7762100000000001,0.0
61,61,347.316498,0.69938,0.6983,0.77617,0.0
62,62,282.564697,0.69955,0.69839,0.7761100000000001,0.0
63,63,269.23770099999996,0.6994600000000001,0.69823,0.7761600000000001,0.0
64,64,257.653442,0.6994100000000001,0.69812,0.77613,0.0
65,65,374.297974,0.69921,0.69813,0.7761100000000001,0.0
66,66,233.150726,0.69943,0.69809,0.77617,0.0
67,67,266.223785,0.69936,0.69807,0.7761,0.0
68,68,111.281967,0.69965,0.69809,0.7761,0.0
69,69,148.69696000000002,0.69953,0.69802,0.77615,0.0
70,70,279.221405,0.69919,0.69786,0.77608,0.0
71,71,162.094177,0.69945,0.69794,0.7761,0.0
72,72,301.26034500000003,0.69912,0.6978,0.7760199999999999,0.0
73,73,168.053925,0.69931,0.69775,0.77609,0.0
74,74,100.076797,0.6994,0.6977,0.7761100000000001,0.0
75,75,170.83338899999998,0.69921,0.6976100000000001,0.7760600000000001,0.0
76,76,101.95929699999999,0.69931,0.69757,0.77608,0.0
77,77,172.77948,0.69928,0.69771,0.77609,0.0
78,78,213.528412,0.69911,0.69757,0.77598,0.0
79,79,221.529617,0.69897,0.69739,0.77599,0.0
80,80,171.550568,0.69904,0.6973600000000001,0.77593,0.0
81,81,101.58332800000001,0.69911,0.69727,0.77593,0.0
82,82,164.124588,0.69903,0.69733,0.77587,0.0
83,83,290.403503,0.69886,0.6974,0.7760199999999999,0.0
84,84,138.154526,0.69903,0.69726,0.7760100000000001,0.0
85,85,180.937073,0.69901,0.69735,0.7760100000000001,0.0
86,86,67.268242,0.69906,0.69711,0.7760199999999999,0.0
